pid,spd,v,v_lo,v_hi,a,a_lo,a_hi,w,w_lo,w_hi,t0,t0_lo,t0_hi
CMT005,75,2.422050054291427,1.869991208516677,3.0313909422509995,0.8277273356536864,0.7627638674940677,0.8985735052538395,0.33877043756975056,0.2902216832596862,0.3803098110403252,149.89564913181977,147.23079912717756,152.36464361488464
CMT006,75,2.4774832129906827,1.683545893231879,3.311914175584401,0.5204835271511392,0.47972289206816277,0.5602212944777443,0.3618936698648519,0.31886757631377444,0.40638303611955073,202.67109366459943,200.73697900414214,204.55664620302178
CMT007,75,2.828520129537859,2.1011672301762987,3.6019492361317713,0.5912584228639742,0.5461240694289533,0.6395642872498714,0.36099978384203096,0.31837436215366777,0.4069194171179321,209.90321409733784,206.9713843733678,212.74589585673397
CMT008,75,2.4881237524958584,1.509921972378139,3.4402893469954985,0.41649444805128744,0.38260100874399955,0.45045261997154146,0.3964891006946496,0.3507058091006111,0.44489117028149805,187.51609074046974,185.97293492351685,188.9415541400133
CMT009,75,2.3589292218216538,1.6111411971935925,3.164715892680368,0.5716186737342478,0.5292990338620166,0.6194559137817038,0.35284368885681666,0.30562197605302893,0.3967284597815532,184.6054377297649,183.16815996045005,186.165088215739
CMT010,75,5.768004158888085,4.78729433288712,6.775733942812659,0.5469623717804972,0.48670927062444225,0.6097936341741401,0.3860309918012964,0.33569541168190203,0.4337576377037377,189.87949735798276,186.45426316363094,193.00907277344652
CMT001,150,0.7207483805832956,-0.13446049860334508,1.4997176251031252,0.5286573780231608,0.4847640746026301,0.5740728132613907,0.37992295169926493,0.3340842084744306,0.43209031774510415,165.7522653787192,163.9982027176624,167.10334522907957
CMT0011,150,3.566770416254404,2.773609044311908,4.435273945317692,0.5668455477219136,0.5179449207554551,0.6176561113920198,0.35992259014643746,0.31871284127602917,0.4053251533980371,191.81607583280544,188.80894237465546,194.88073666139513
CMT0012,150,1.2990496795892046,0.6649809857003124,1.9277037744998133,0.6944061531918423,0.6403595913109275,0.7499493584551846,0.35509328073649726,0.31038372861639957,0.40003123415286657,152.30355267801713,150.1651264473409,154.19280188291833
CMT0014,150,3.1729954239163107,2.5028940018924914,3.8428010218883717,0.7771637677433759,0.7119435227943642,0.8425317526455822,0.33225891506120264,0.2897632679403035,0.3816613512215394,155.53248114542984,152.82021956133391,158.00740132043873
CMT0015,150,0.2812270704996834,-0.5554041339290268,1.0503559128796482,0.5177813626319384,0.47714889283323264,0.5611495131876126,0.3897174202468226,0.3442391806623385,0.4365322801712387,155.97837174563318,154.63097655295306,157.4625903221224
CMT0016,150,2.3685615803821762,1.6520267788361087,3.11645822259076,0.571655505246493,0.5228512931177108,0.617163667322962,0.3494879076516464,0.3039168136788338,0.39182653131322037,156.56357943799085,154.46044569429472,158.7621052895186
CMT0017,150,2.3389054427783176,1.5479623589139555,3.1003447466996974,0.5613107066570737,0.5149965096634658,0.604280396537635,0.3926691288041017,0.3459736895231095,0.44376613057208353,204.0200466672397,201.57324170505763,206.17029146353076
CMT002,150,3.9946979515891154,3.075613406249966,4.952663173209513,0.5217516980463147,0.478548782005258,0.5684126815790246,0.36222098221225063,0.31667979715964323,0.40890112876303686,176.11463766352168,174.16126378440862,177.96171373404414
CMT003,150,2.028430517506041,1.1666079453051172,2.885432882241818,0.5125349953567208,0.4770159670681935,0.5587392536202546,0.36923052335765555,0.32353373361841226,0.4169424434745235,184.52612869293813,182.92130597570738,186.02122841144262
CMT004,150,2.2711552988917347,1.5039443379697128,3.0339288337777197,0.5998207275852103,0.5496066876961441,0.6489243484562768,0.3892461028646904,0.34325610645508,0.4403198023568866,152.4685504610949,150.17967667119726,154.6850798328296
CMT005,150,1.4043171527315053,0.913292489886967,1.947868562024972,0.9319034428067302,0.8617029770669916,1.0089010995268732,0.3802644820646497,0.3319319808386307,0.43032950399695896,165.33439452761783,160.0570098373961,170.05260370140596
CMT006,150,1.341984883248256,0.6158631973782833,2.038594172553597,0.61657704940944,0.5690310117151548,0.6649567279145113,0.3604078781859853,0.3141832666403134,0.40449150195204936,192.17332469982168,189.83993443936507,194.38791179064202
CMT007,150,2.051139447011935,1.5124823264532314,2.7012718256433206,0.8194454496269191,0.7512620811380807,0.8868271495520378,0.34545387557508456,0.29505205512804095,0.39020173066566277,152.4939331983998,149.5608265671845,155.07675818459433
CMT008,150,0.37921229723267197,-0.4127473143335676,1.2008076510563646,0.5412580037538627,0.49890873248882434,0.5881693500831104,0.4491391304708909,0.39293425334126286,0.5135308459706023,156.42062637981877,154.5559342231435,158.45534193339526
CMT009,150,1.6342339025984864,0.8937682162090239,2.4538523893384214,0.5287911558334678,0.4822015734208703,0.5719106389985388,0.38383674749646385,0.34226237747404364,0.4297992193320619,186.0285340386714,183.72122476462056,188.2440871274096
CMT010,150,3.715437201447073,3.0306373192287097,4.363016433383544,0.7279159525240534,0.6645933637302087,0.7959217391503899,0.36034860098528976,0.3147575616931289,0.40275780156714047,155.2956668269067,151.01770997042442,159.2342095183133
