pid,spd,n,v,sv,a,w,t0_ms,ll_sv,ll_2b,ll_wb,aic_sv,aic_2b,aic_wb,t0_2b,t0_wald
CMT0015,150,119,-0.7532886794878777,3.42956926381026,0.568632125465797,0.4276713001536617,155.52765146471017,168.9952193896996,167.16458538717842,180.594521090476,-327.9904387793992,-326.32917077435684,-353.189042180952,156.06397869859754,141.27441596696755
CMT0016,0,119,-1.29992740035588,1.6728082405943643,0.5162885250038298,0.5396032883312185,174.57982991397074,162.2550533772509,162.19302170929166,173.7016830546757,-314.5101067545018,-316.3860434185833,-339.4033661093514,174.77844827284923,161.6915367318992
CMT0016,75,119,3.9367879860637585,1.2646601911722075,0.5092846712831532,0.34088470199059834,171.39917760305423,196.76513156994952,196.75650992898048,202.11036718990698,-383.53026313989903,-385.51301985796096,-396.22073437981396,171.42216562851564,156.40731747445946
CMT0016,150,113,2.5654849533583377,6.821017644883683e-07,0.5721000942789364,0.3306953670558245,156.87817494710754,141.70283657652075,141.70283656648195,138.0428055935132,-273.4056731530415,-275.4056731329639,-268.0856111870264,156.87811677019914,130.000001362894
CMT0017,0,120,-3.0804201693857607,2.3961982286515733,0.6029283093544374,0.5400665326993082,199.39466403790163,166.16822251427664,165.12287870876588,178.52659390662467,-322.33644502855327,-322.24575741753176,-349.05318781324934,200.1200413913819,181.6942805818073
CMT0017,75,119,3.5057028714223493,2.4444488653356373,0.9679874542083944,0.2739885385639306,149.7136933216271,98.21797740682423,96.85953926394905,138.62283255774747,-186.43595481364846,-185.7190785278981,-269.24566511549494,149.97338645755158,130.0000000590963
CMT0017,150,120,2.1830781374854946,2.135080903638985e-09,0.5489909702454647,0.41204620764304856,205.00249084404092,159.27477484269747,159.27477477063422,170.88064073255342,-308.54954968539494,-310.54954954126845,-333.76128146510683,205.0021997842158,188.51912858488544
CMT002,0,119,-2.334432693647658,1.3665108629868374e-07,0.513873256530457,0.5032970613938447,181.4936017483692,174.56315254499782,174.56315249311209,179.04545537095603,-339.12630508999564,-341.12630498622417,-350.09091074191207,181.4933681408995,171.96841719370508
CMT002,75,116,3.175910403142999,3.8099284307662404e-08,0.4566655604564475,0.35035770531726834,177.58254550188968,201.9067597983184,201.9067597234844,212.50642065594138,-393.8135195966368,-395.8135194469688,-417.01284131188277,177.58246013663722,142.90938053862425
CMT002,150,116,4.487112636519672,9.537068839559294e-07,0.5156414935031879,0.3379759827316711,177.0067002591363,201.7993913955852,201.79939132848722,228.29579254292233,-393.5987827911704,-395.59878265697444,-448.59158508584466,177.00665708746226,130.00000007749466
CMT003,75,119,2.542739300703498,1.2074088516183512,0.4445289961631302,0.37658691088668844,197.83239830311354,205.71183317724052,205.69489767151214,224.1505638147891,-401.42366635448104,-403.3897953430243,-440.3011276295782,197.8659475188811,155.72398754815967
CMT003,150,118,2.193746600149623,2.2878216697214246,0.5303384325907579,0.35299564076242507,185.40019679018815,178.01070386403472,177.65692252223704,208.63450816378054,-346.02140772806945,-347.3138450444741,-409.2690163275611,185.54721084523416,130.00000633917602
CMT004,75,117,5.311092177578309,8.661538167376308e-07,0.46021365628294625,0.308736327632201,182.76675983221878,233.35256589385665,233.3525658082463,239.42346995974737,-456.7051317877133,-458.7051316164926,-470.84693991949473,182.76685147756305,163.9817482064722
CMT004,150,119,2.2573494244134276,1.0717432319796036,0.6109906841203051,0.3959912443293722,152.1850361448346,145.93893589986385,145.87240563999418,174.8138350306546,-281.8778717997277,-283.74481127998837,-341.6276700613092,152.3497117649844,130.6232110143967
CMT005,75,117,2.760751402027571,1.1039091161229495,0.8978032872559065,0.3121468400806404,148.1119331738143,81.8326687557907,81.67407537027492,106.03158462368684,-153.6653375115814,-155.34815074054984,-204.06316924737368,148.32424909960423,130.00000012779978
CMT005,150,119,1.4468787528613927,1.7042357034315707e-07,0.9643075016133592,0.37389797460803326,163.17220470524128,36.93365848728639,36.93365847357308,49.883023025783615,-63.86731697457277,-65.86731694714616,-91.76604605156723,163.1722846490363,130.77034516649812
CMT006,75,120,2.4683709579280206,7.078733589145674e-07,0.5132818919718609,0.35906873620549107,203.3101047427118,169.37574395201716,169.3757439332456,166.13917007008564,-328.7514879040343,-330.7514878664912,-324.2783401401713,203.30998925114935,191.24177680612732
CMT006,150,120,1.387454674290142,2.3186016069065884e-08,0.6117584135289961,0.3495595734866239,193.2028997807349,129.40674899041122,129.40674899017006,131.61279836759834,-248.81349798082243,-250.81349798034012,-255.2255967351967,193.20290012251135,171.41827813680743
CMT007,75,119,2.8667430575001402,1.5411392434872422e-07,0.5916832861287995,0.35726099331786937,210.1519884234725,146.62844933129315,146.62844928848844,139.48367258763125,-283.2568986625863,-285.2568985769769,-270.9673451752625,210.15183181953253,199.068079157386
CMT007,150,117,2.2501005529728033,8.869389147557382e-07,0.8423339847590732,0.32278516628833337,152.23794284200764,78.35198569001902,78.35198553786608,90.48492689365878,-146.70397138003804,-148.70397107573217,-172.96985378731756,152.23820386608668,130.00000046629643
CMT008,75,120,2.4723887629538575,2.8703113914355396,0.42905256574017336,0.41220042118652594,187.75323259594975,215.9081463872838,215.2062658752811,224.47419392488635,-421.8162927745676,-422.4125317505622,-440.9483878497727,188.00620237613475,177.17472033423988
CMT008,150,115,-0.6587984733230415,2.3919874863848527,0.5762421543326637,0.5456946510219335,156.9020425734068,145.9970894308846,144.84940411331587,216.81897143548952,-281.9941788617692,-281.69880822663174,-425.63794287097903,157.22269163627402,130.00000034275067
CMT009,75,120,2.6187935850222277,2.10479070538437,0.6051996447580875,0.33043901332078507,185.0290003569224,158.2642743670351,158.06005162079202,171.3243729895278,-306.5285487340702,-308.12010324158405,-334.6487459790556,185.16049922652,157.95505783417855
CMT009,150,120,1.471287229888068,1.937183890330156e-07,0.5177159414932904,0.3970243323448583,186.68132607732082,159.2824159231106,159.28241584640978,156.75628135226663,-308.5648318462212,-310.56483169281955,-305.51256270453325,186.6811062982412,178.3881648207732
CMT010,75,119,6.380648429365452,7.343113753773223e-07,0.5723045026237704,0.3721773484697355,188.77686822955712,244.38112926660506,244.38112926006366,240.3506418971104,-478.7622585332101,-480.7622585201273,-472.7012837942208,188.77694820342623,184.2587857468725
CMT010,150,118,4.049621152904671,6.102629895233604e-07,0.7633401817979227,0.33745615113951755,152.79019485597675,144.51782776324856,144.5178277034945,139.65106213832067,-279.0356555264971,-281.035655406989,-271.30212427664134,152.7899217992587,133.7615978582002
