pid,spd,n_sub,n_all,wald_all_t0,wald_all_v,wald_all_a,wald_sub_t0,wald_sub_v,wald_sub_a,b2_t0,b2_v,b2_a,b2_w,minrt_sub,minrt_all
CMT0014,75,120,120,163.70576315379031,12.282586906602766,0.9757263418345996,163.70576315379031,12.282586906602766,0.9757263418345996,186.19802550631235,5.7755870190760294,0.6111782093868435,0.32851051034573553,192.5,192.5
CMT0014,150,117,117,130.00000175527217,7.41569048826768,0.9842288076214454,130.00000175527217,7.41569048826768,0.9842288076214454,155.85835756322146,3.6425155228311237,0.8015724597243432,0.29216037348442037,160.5,160.5
CMT0015,0,120,120,130.00000023405744,7.488788319489376,0.7500025431580122,130.00000023405744,7.488788319489376,0.7500025431580122,148.48675299832576,-4.18657336948537,0.6919634228911729,0.7107463099621737,152.0,152.0
CMT0015,75,119,119,136.4165368801217,8.338749842763779,0.6888455528844902,136.4165368801217,8.338749842763779,0.6888455528844902,153.25701759304368,-0.33666627115393993,0.5469571535614987,0.4522524909503502,157.0,157.0
CMT0015,150,119,119,141.27441596696755,8.525780188061637,0.5955435040907909,141.27441596696755,8.525780188061637,0.5955435040907909,156.06397869859754,-0.14560263568214252,0.505570775936535,0.4192333032304927,159.0,159.0
CMT0016,0,119,119,161.6915367318992,7.859368852630486,0.5527144803300509,161.6915367318992,7.859368852630486,0.5527144803300509,174.77844827284923,-1.2460522339544353,0.5010894225146272,0.5372952967489928,179.0,179.0
CMT0016,75,119,119,156.40731747445946,9.114768929669893,0.5923425506590436,156.40731747445946,9.114768929669893,0.5923425506590436,171.42216562851564,3.775997604958037,0.5008789387605476,0.3459477949217335,174.0,174.0
CMT0016,150,113,113,130.000001362894,7.268415494856694,0.6920988207351804,130.000001362894,7.268415494856694,0.6920988207351804,156.87811677019914,2.565436315985557,0.5721013877202114,0.33069615510501116,161.0,161.0
CMT0017,0,120,120,181.6942805818073,8.053251930103668,0.6686683907761866,181.6942805818073,8.053251930103668,0.6686683907761866,200.1200413913819,-2.3963061987837952,0.5584572082274197,0.5188876849464984,205.0,205.0
CMT0017,75,119,119,130.00000005909627,8.501997128377184,1.1842771599342863,130.00000005909627,8.501997128377184,1.1842771599342863,149.97338645755158,2.7268566396987004,0.8227090394244199,0.31039690360161565,155.0,155.0
CMT0017,150,120,120,188.51912858488544,8.060687767843598,0.6489971709098749,188.51912858488544,8.060687767843598,0.6489971709098749,205.0021997842158,2.1830770574866856,0.5489969920829147,0.41203882017963706,210.0,210.0
CMT002,0,119,119,171.96841719370508,6.716519501903107,0.4477915164986456,171.96841719370508,6.716519501903107,0.4477915164986456,181.4933681408995,-2.3345885934587907,0.5138762588537062,0.5033054852897255,187.0,187.0
CMT002,75,116,116,142.90938053862425,12.998782965585875,1.0043261039394045,142.90938053862425,12.998782965585875,1.0043261039394045,177.58246013663722,3.1758313414343915,0.45666670709037255,0.35036879391652714,180.0,180.0
CMT002,150,116,116,130.00000007749466,15.300649278526318,1.4740077585952625,130.00000007749466,15.300649278526318,1.4740077585952625,177.00665708746226,4.4872937913993605,0.5156413814082637,0.3379684195008464,180.0,180.0
CMT003,75,119,119,155.72398754815967,14.682327679568004,1.2235451079714545,155.72398754815967,14.682327679568004,1.2235451079714545,197.8659475188811,2.50942308717788,0.4391252797310329,0.3780312274532247,200.0,200.0
CMT003,150,118,118,130.00000633917602,15.193262255692918,1.6234935300328945,130.00000633917602,15.193262255692918,1.6234935300328945,185.54721084523416,2.1120227670792424,0.5008793318579904,0.35990761998221166,188.0,188.0
CMT004,75,117,117,163.9817482064722,12.315571365306521,0.7045266601695211,163.9817482064722,12.315571365306521,0.7045266601695211,182.76685147756305,5.310920259420927,0.46020497093793267,0.30874014003531014,185.0,185.0
CMT004,150,119,119,130.6232110143967,9.55838211603093,0.8986327430788138,130.6232110143967,9.55838211603093,0.8986327430788138,152.3497117649844,2.1877845393995146,0.5990155192390126,0.3998377887162394,158.0,158.0
CMT005,75,117,117,130.00000012779978,6.590101322569268,1.0121746182762053,130.00000012779978,6.590101322569268,1.0121746182762053,148.32424909960423,2.5868861364582862,0.8631601184643161,0.32110072762037806,155.0,155.0
CMT005,150,119,119,130.77034516649812,4.849699261844037,1.0400449124139373,130.77034516649812,4.849699261844037,1.0400449124139373,163.1722846490363,1.4468659810296303,0.9643030840841375,0.37389586287465437,178.0,178.0
CMT006,75,120,120,191.24177680612735,6.767229358783575,0.4676154857056011,191.24177680612735,6.767229358783575,0.4676154857056011,203.30998925114937,2.4683693820358936,0.5132857357772258,0.3590706167322735,207.0,207.0
CMT006,150,120,120,171.41827813680743,6.641405410603909,0.6584283558491676,171.41827813680743,6.641405410603909,0.6584283558491676,193.20290012251138,1.387449387079555,0.6117578656831443,0.34956003100427946,197.0,197.0
CMT007,75,119,119,199.06807915738602,5.489664533148966,0.46537169686369007,199.06807915738602,5.489664533148966,0.46537169686369007,210.15183181953253,2.866843367997805,0.5916888056752522,0.35725986008747085,216.0,216.0
CMT007,150,117,117,130.00000046629643,5.758810296763471,0.887838494207098,130.00000046629643,5.758810296763471,0.887838494207098,152.23820386608668,2.25029445987875,0.8423420780913097,0.32277028128427243,158.0,158.0
CMT008,75,120,120,177.17472033423988,9.849927751901635,0.4750975777070662,177.17472033423988,9.849927751901635,0.4750975777070662,188.00620237613475,2.085353639380633,0.40494567398922315,0.42404458411849805,191.0,191.0
CMT008,150,115,115,130.00000034275067,15.858093095162364,1.4273686719134457,130.00000034275067,15.858093095162364,1.4273686719134457,157.22269163627402,-0.5215320186080189,0.5330272508399385,0.5396971758269922,161.0,161.0
CMT009,75,120,120,157.95505783417855,9.280881989429885,0.8522486653735565,157.95505783417855,9.280881989429885,0.8522486653735565,185.16049922651996,2.4403303615441594,0.5707822503466616,0.3403826772717879,188.0,188.0
CMT009,150,120,120,178.3881648207732,6.164177956294009,0.4190764371224515,178.3881648207732,6.164177956294009,0.4190764371224515,186.68110629824122,1.4712675801803154,0.517721533110461,0.397016805211063,192.0,192.0
CMT010,75,119,119,184.2587857468725,7.573801841242341,0.4150475105888127,184.2587857468725,7.573801841242341,0.4150475105888127,188.77694820342623,6.380590303871612,0.5723039339729048,0.37218146664181573,198.0,198.0
CMT010,150,118,118,133.7615978582002,5.809973595488075,0.6876532045678954,133.7615978582002,5.809973595488075,0.6876532045678954,152.7899217992587,4.049497686880606,0.7633378707058995,0.3374580384346193,164.0,164.0
