trial,response_time,accuracy,decision_time,choice,final_evidence
84,0.4860000000000002,0,0.23600000000000018,-1,-1.005606737184278
85,1.1280000000000006,0,0.8780000000000007,-1,-1.001618460355516
86,0.7650000000000003,1,0.5150000000000003,1,1.0130238573537744
87,0.8570000000000004,1,0.6070000000000004,1,1.0094890672026098
88,0.4880000000000002,1,0.23800000000000018,1,1.0053764903677989
89,1.5119999999999718,0,1.2619999999999718,-1,-1.0186183611309751
90,1.4749999999999759,0,1.2249999999999759,-1,-1.0124987202954314
91,0.7210000000000003,1,0.47100000000000036,1,1.0070940062584774
92,1.4479999999999789,1,1.1979999999999789,-1,-1.0331695397363956
93,1.2619999999999993,1,1.0119999999999993,1,1.0186029479729366
94,0.4980000000000002,1,0.2480000000000002,-1,-1.0172382261595094
95,2.196999999999896,0,1.9469999999998964,-1,-1.0075577421806523
96,0.9320000000000005,1,0.6820000000000005,1,1.0324455225734221
97,0.6080000000000003,1,0.35800000000000026,1,1.0362922352116561
98,0.8550000000000004,1,0.6050000000000004,1,1.0090044305490218
99,1.8629999999999332,1,1.6129999999999332,-1,-1.0165908226862823
100,1.0330000000000006,1,0.7830000000000006,1,1.0610164931419592
101,1.1470000000000007,1,0.8970000000000007,1,1.0035224511968934
102,1.2530000000000003,1,1.0030000000000003,-1,-1.0127325516017236
103,0.6550000000000002,1,0.4050000000000003,1,1.0115528728944831
104,1.6479999999999568,1,1.3979999999999568,-1,-1.0040591152824085
105,1.4979999999999734,1,1.2479999999999734,1,1.0168325191186118
106,1.0700000000000007,1,0.8200000000000006,1,1.0020201355735445
107,1.0540000000000007,1,0.8040000000000006,1,1.0343689359728447
108,0.5870000000000002,0,0.33700000000000024,-1,-1.0040040661579481
109,2.9529999999998133,0,2.7029999999998133,1,1.0226422123856338
110,2.096999999999907,1,1.8469999999999074,1,1.0167355471816577
111,0.5830000000000002,1,0.33300000000000024,-1,-1.026758674337332
112,1.1020000000000008,0,0.8520000000000006,-1,-1.0144070469285562
113,0.5940000000000003,1,0.34400000000000025,-1,-1.0028382716217987
114,0.7080000000000004,1,0.45800000000000035,-1,-1.0060274284219362
115,1.1690000000000007,0,0.9190000000000007,-1,-1.0335160253263715
116,2.446999999999869,1,2.196999999999869,1,1.0101275065602098
117,0.6940000000000004,1,0.44400000000000034,-1,-1.0255250450674174
118,3.0579999999998018,1,2.8079999999998018,1,1.0171011899289708
119,1.1900000000000008,1,0.9400000000000007,-1,-1.0383497146352965
120,1.483999999999975,1,1.233999999999975,1,1.02115206473025
121,0.4600000000000002,1,0.21000000000000016,1,1.005139024834765
122,0.5460000000000003,1,0.2960000000000002,1,1.0420644893058166
123,0.3910000000000001,1,0.1410000000000001,1,1.013406182596737
124,0.6220000000000003,0,0.3720000000000003,-1,-1.0096632391004634
125,1.3409999999999906,1,1.0909999999999906,1,1.006877044920006
126,0.5990000000000002,1,0.34900000000000025,1,1.008525676519716
127,2.43799999999987,1,2.18799999999987,-1,-1.0159892749359423
128,0.4810000000000002,1,0.23100000000000018,1,1.0098397758750335
129,1.764999999999944,0,1.514999999999944,1,1.002834398772958
130,0.4710000000000002,1,0.22100000000000017,1,1.0742422268369092
131,1.2170000000000007,0,0.9670000000000007,1,1.006900911602722
132,1.0560000000000005,0,0.8060000000000006,-1,-1.0177327108494638
133,0.4540000000000002,1,0.20400000000000015,1,1.0124623346597967
134,0.6190000000000002,0,0.36900000000000027,1,1.0127882123278835
135,1.5939999999999628,1,1.3439999999999628,1,1.0169232460774895
136,0.5750000000000002,0,0.32500000000000023,1,1.0034160309580262
137,0.9670000000000005,0,0.7170000000000005,1,1.0003643551448849
138,1.0930000000000006,0,0.8430000000000006,-1,-1.003508942860187
139,0.8510000000000004,1,0.6010000000000004,-1,-1.0019267823750306
140,1.0680000000000005,1,0.8180000000000006,-1,-1.0006098697396582
141,1.2689999999999986,1,1.0189999999999986,-1,-1.063476637563146
142,1.1400000000000006,1,0.8900000000000007,-1,-1.003134448714959
143,0.5970000000000002,0,0.34700000000000025,1,1.0149236549477811
144,1.3139999999999936,1,1.0639999999999936,-1,-1.0034303159506095
145,1.2510000000000006,0,1.0010000000000006,-1,-1.0293542329823935
146,2.1139999999999057,0,1.8639999999999055,1,1.0008957192290682
147,0.8130000000000004,1,0.5630000000000004,-1,-1.0412161482045141
148,0.9090000000000005,1,0.6590000000000005,-1,-1.0655476035818823
149,2.009999999999917,0,1.759999999999917,1,1.0257764592457121
150,2.972999999999811,1,2.722999999999811,1,1.0280714764774759
151,1.89199999999993,1,1.64199999999993,1,1.0263510521542774
152,1.9409999999999246,0,1.6909999999999246,1,1.014321812245742
153,1.0260000000000007,1,0.7760000000000006,1,1.009835739681316
154,0.5300000000000002,1,0.2800000000000002,1,1.002931968008616
155,1.664999999999955,1,1.414999999999955,1,1.0198591283505563
156,1.4129999999999827,1,1.1629999999999827,-1,-1.013138345940519
157,3.25,0,3.0,0,0.5148550950289059
158,0.6530000000000002,1,0.4030000000000003,-1,-1.0158477831801465
159,1.5049999999999726,0,1.2549999999999726,-1,-1.02222255994961
160,0.6800000000000004,1,0.4300000000000003,1,1.0138052274288598
161,0.8240000000000004,1,0.5740000000000004,-1,-1.009487466243739
162,0.7170000000000003,0,0.46700000000000036,-1,-1.0226091415282226
163,1.336999999999991,1,1.086999999999991,1,1.0644016331279424
164,0.7500000000000003,1,0.5000000000000003,-1,-1.0163407993038382
165,1.0710000000000006,1,0.8210000000000006,1,1.0281562753158549
166,1.8109999999999389,0,1.5609999999999389,1,1.0173346046307579
167,0.4740000000000002,1,0.22400000000000017,1,1.0029805567057486
